Date,id,sales,asins,brand,categories,name,Price
2017-02-01,5,12028.548689853083,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-02-08,5,12780.885508115012,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-02-15,5,12655.554052557187,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-11-09,6,3529.477523537546,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-11-16,6,2956.826523337608,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-11-23,6,2660.4038442395904,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-11-30,6,2841.655798772701,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-12-07,6,3395.3819951628006,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-12-14,6,3981.3358692618403,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-12-21,6,4260.100445556762,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-12-28,6,4110.557482350144,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-01-04,6,3688.5335815936282,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-01-11,6,3309.5503299926704,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-01-18,6,3241.7303995581387,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-01-25,6,3537.248593975459,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-02-01,6,4010.14716308801,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2017-02-08,6,4382.481695470178,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
